Tantra - The Park,21509,306
Jafran,25660,307
Momo I Am,18361657,308
Cha Bar,20964,309
Chung Wah,21538,310
Gupta Brothers Sweets,20723,311
Afraa Deli,21728,312
Noodle Oodle,18334323,313
The Wise Owl Steakhouse,25679,314
Hungry Tide,23894,315
Mainland China,20927,316
The Square - Novotel,24533,317
Kookie Jar,21598,318
Burger You,24624,319
Flame & Grill,21219,320
Kaidi Kitchen,24795,321
The Rose,21274,322
Q33,24315,323
Sharma Dhaba,21146,324
The Sushi Oke,21389,325
Rooftop Top View,22004,326
Bliss,20083,327
Au Bon Pain,23673,328
Orko'ss Restaurant & Lounge Bar,21546,329
Red Bamboo Shoot Restaurant,23191,330
La Cucina - Hyatt Regency,20941,331
The Blue Door,24781,332
Cheeni Kum,21869,333
Gangaur,20828,334
Eau Chew Restaurant,21715,335
6 Ballygunge Place Thali,23357,336
Hoppipola,18420396,337
SOI,18368664,338
Courting Coffees,18431475,339
Icy Fusion,24892,340
Kebab-e-Que - The Astor Hotel,21530,341
Govinda's,22189,342
Haldiram's,22165,343
Mission Cafe,23942,344
Red Bamboo Shoot Restaurant,25387,345
Kasturi Restaurant,18017608,346
The Co. by Wok Anthems - Dee Empresa Hotel,24887,347
Dosa @ Twist,24481,348
Santa Delivers,24834,349
K19 All Day Dining - Park Plaza,22660,350
Lazeez Express,23280,351
Charcoal Grill,21412,352
Hatari,23221,353
Tandoori Darbar,21046,354
Haji Saheb,24573,355
Ginger,20885,356
Baati Chokha,25506,357
Jabbrr Afghani,22351,358
The Steak Factory,18420392,359
Benjarong,20890,360
Kasturi Restaurant,23559,361
Udipi Home,22087,362
Zam Zam,22656,363
Pai's Malgudi,24816,364
Saptapadi,23953,365
Pizza Hut Delivery,21374,366
Roast,18377068,367
Chittoda's Suruchee Restaurant,21760,368
The Silk Route,24568,369
Red Hot Chilli Pepper,21519,370
Eat Good Food,18237056,371
Ppaparazzi,21664,372
SpiceKlub,18343750,373
Sudipar Rannaghor,18162696,374
Hondo's,18361680,375
Watz This Friday,23597,376
Eden Pavilion - ITC Sonar,21626,377
Kewpie's,20286,378
New Empire Bar,20872,379
Little Italy (Little High),20322,380
Buzz,20698,381
Sienna Store & Cafe,18237062,382
Apanjan,22206,383
Mama Mia!,20957,384
Hot Kathi Rolls,22082,385
Anadi Cabin,22169,386
The Yellow Chilli,21569,387
Aqua Java Air,18143246,388
6 Ballygunge Place Thali,24670,389
Teekha,24395,390
Cakes,21929,391
@49,18017618,392
Fusion,21159,393
Purple Turtle,25141,394
Starstruck,20499,395
Kix Lounge,21639,396
Ozora,18420364,397
Jimmy's Kitchen,21149,398
Sharma Tea,21138,399
The Coffee Bean & Tea Leaf,23890,400
Tasty Corner,22866,401
Dolly's The Tea Shop,21381,402
Azad Hind,24668,403
Asia House,18398872,404
Bijoli Grill,24644,405
Caf?? OMG! Social,18296323,406
Oceanic - The Peerless Inn,21580,407
Pizza Hut,21370,408
Russel Punjabi Dhaba,21665,409
The Street - The Park,20851,410
Royal Jade Chinese Restaurant,21073,411
Krazy for Chocolates,21441,412
The French Loaf,20945,413
Fatso's,22432,414
Pan Asian - ITC Sonar,21516,415
FoodPath,18143265,416
Wolves'11,18134908,417
Lokaahar,18204346,418
Buzz - The Gateway Hotel,23442,419
Caafe 360 Degree,23468,420
Sera - The Tapas Bar & Restaurant,23730,421
Marufaz,25589,422
The Drunken Monkey - Hotel O2 VIP,18343728,423
KK's Fusion,21633,424
China South,23792,425
Sultan,18296352,426
Manti,21262,427
